Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
40201,Arequipa,Camana,CAMANA,14409,"11,67",76.32,"13,60",,,,
40414,Arequipa,Castilla,VIRACO,1647,141,73.62,"19,60",,,,
40502,Arequipa,Caylloma,ACHOMA,869,"393,54",83.79,"39,60",,,,
40519,Arequipa,Caylloma,YANQUE,2113,"1108,58",65.82,"51,80",,,,
40602,Arequipa,Condesuyos,ANDARAY,657,"847,56",75.85,"50,80",,,,
40603,Arequipa,Condesuyos,CAYARANI,3046,"1395,67",74.81,"47,70",,,,
40702,Arequipa,Islay,COCACHACRA,8901,"1536,96",64.65,"27,00",,,,
40703,Arequipa,Islay,DEAN VALDIVIA,6703,"134,08",72.21,"35,30",,,,
40811,Arequipa,La Union,TORO,767,"391,44",88.66,"55,20",,,,
50201,Ayacucho,Cangallo,CANGALLO,6866,"187,05",81.95,"29,30",,,,
50114,Ayacucho,Huamanga,VINCHOS,17136,"928,68",95.32,"54,90",,,,
50302,Ayacucho,Huanca Sancos,CARAPO,2543,"241,34",86.81,"22,20",,,,
50410,Ayacucho,Huanta,UCHURACCAY,5759,"300,28",97.00,"67,10",,,,
50510,Ayacucho,La Mar,ANCHIHUAY,5640,"272,07",89.03,"79,60",,,,
50621,Ayacucho,Lucanas,SANTA LUCIA,889,"1019,14",69.40,"64,70",,,,
50702,Ayacucho,Parinacochas,CHUMPI,2680,"366,3",92.23,"36,50",,,,
50810,Ayacucho,Paucar del Sara Sara,SARA SARA,735,"79,58",75.85,"26,30",,,,
50911,Ayacucho,Sucre,SORAS,1331,"357,97",61.17,"32,00",,,,
51002,Ayacucho,Victor Fajardo,ALCAMENCA,2428,"125,11",74.09,"31,50",,,,
51108,Ayacucho,Vilcas Huaman,VISCHONGO,4828,"268,87",61.44,"29,90",,,,
60202,Cajamarca,Cajabamba,CACHACHI,26990,"820,81",89.46,"38,90",,,,
60112,Cajamarca,Cajamarca,SAN JUAN,5232,"69,66",88.20,"28,60",,,,
60301,Cajamarca,Celendin,CELENDIN,28319,409,83.24,"23,20",,,,
60402,Cajamarca,Chota,ANGUIA,4296,"123,01",73.42,"48,60",,,,
60501,Cajamarca,Contumaza,CONTUMAZA,8461,"358,28",89.80,"37,50",,,,
60615,Cajamarca,Cutervo,TORIBIO CASANOVA,1262,"40,65",88.66,"37,00",,,,
60701,Cajamarca,Hualgayoc,BAMBAMARCA,82744,"451,38",81.95,"30,30",,,,
60812,Cajamarca,Jaen,SANTA ROSA,11363,"282,8",84.66,"61,30",,,,
60902,Cajamarca,San Ignacio,CHIRINOS,14355,"351,91",75.79,"37,70",,,,
61001,Cajamarca,San Marcos,PEDRO GALVEZ,21549,"238,74",62.75,"22,10",,,,
61102,Cajamarca,San Miguel,BOLIVAR,1462,"78,97",95.73,"26,00",,,,
61204,Cajamarca,San Pablo,TUMBADEN,3590,"264,37",94.06,"36,30",,,,
